text,aspect,label
"Le cours en ligne est pratique et flexible, mais la motivation retombe vite.","flexibilité","positive"
"Le cours en ligne est pratique et flexible, mais la motivation retombe vite.","engagement","negative"
"Le bar est sympa, bonne ambiance et prix corrects, mais trop bruyant.","ambiance","positive"
"Le bar est sympa, bonne ambiance et prix corrects, mais trop bruyant.","bruit","negative"
"Le projet est ambitieux avec un potentiel énorme, mais les délais sont irréalistes.","potentiel","positive"
"Le projet est ambitieux avec un potentiel énorme, mais les délais sont irréalistes.","planning","negative"
"La plateforme est utile et fait gagner du temps, mais l’interface est moche.","utilité","positive"
"La plateforme est utile et fait gagner du temps, mais l’interface est moche.","interface","negative"
"Le voyage en groupe était convivial et on a bien rigolé, mais zéro liberté dans le planning.","convivialité","positive"
"Le voyage en groupe était convivial et on a bien rigolé, mais zéro liberté dans le planning.","liberté","negative"
"Le travail est valorisant et on se sent utile, mais la reconnaissance est faible.","sens du travail","positive"
"Le travail est valorisant et on se sent utile, mais la reconnaissance est faible.","reconnaissance","negative"
"Le concept est moderne et répond à un besoin réel, mais l’exécution est maladroite.","idée","positive"
"Le concept est moderne et répond à un besoin réel, mais l’exécution est maladroite.","exécution","negative"
"Le bar est sympa et l’ambiance est cool, mais le service est lent.","ambiance","positive"
"Le bar est sympa et l’ambiance est cool, mais le service est lent.","service","negative"
"Le cours est intéressant et clair, mais les examens sont injustes.","contenu","positive"
"Le cours est intéressant et clair, mais les examens sont injustes.","évaluation","negative"
"Le téléphone est fluide et rapide, mais la batterie ne tient pas.","performance","positive"
"Le téléphone est fluide et rapide, mais la batterie ne tient pas.","batterie","negative"
"Le resto est chaleureux et la déco est belle, mais les plats sont fades.","décoration","positive"
"Le resto est chaleureux et la déco est belle, mais les plats sont fades.","qualité des plats","negative"
"Le projet est ambitieux et l’idée est bonne, mais l’exécution est bancale.","idée","positive"
"Le projet est ambitieux et l’idée est bonne, mais l’exécution est bancale.","exécution","negative"
"La ville est magnifique et culturelle, mais la vie est hors de prix.","cadre de vie","positive"
"La ville est magnifique et culturelle, mais la vie est hors de prix.","coût de la vie","negative"
"L’équipe est motivée et l’ambiance est saine, mais la charge est énorme.","ambiance d’équipe","positive"
"L’équipe est motivée et l’ambiance est saine, mais la charge est énorme.","charge de travail","negative"
"Le site est clair et pratique, mais il bug souvent.","ergonomie","positive"
"Le site est clair et pratique, mais il bug souvent.","stabilité","negative"
"Le film est bien joué et les acteurs sont convaincants, mais le scénario est prévisible.","jeu d’acteurs","positive"
"Le film est bien joué et les acteurs sont convaincants, mais le scénario est prévisible.","scénario","negative"
"La formation est solide et on apprend beaucoup, mais c’est trop théorique.","contenu","positive"
"La formation est solide et on apprend beaucoup, mais c’est trop théorique.","pratique","negative"
"Le service client est poli et réactif, mais il ne règle pas le problème.","réactivité","positive"
"Le service client est poli et réactif, mais il ne règle pas le problème.","efficacité","negative"
"L’hôtel est propre et bien situé, mais les chambres sont minuscules.","propreté","positive"
"L’hôtel est propre et bien situé, mais les chambres sont minuscules.","taille des chambres","negative"
"Le logiciel est puissant et complet, mais il est lent au démarrage.","fonctionnalités","positive"
"Le logiciel est puissant et complet, mais il est lent au démarrage.","performance","negative"
"La soirée était fun et on a bien rigolé, mais l’organisation était catastrophique.","ambiance","positive"
"La soirée était fun et on a bien rigolé, mais l’organisation était catastrophique.","organisation","negative"
"Le cours en ligne est flexible et pratique, mais on décroche vite.","flexibilité","positive"
"Le cours en ligne est flexible et pratique, mais on décroche vite.","engagement","negative"
"Le produit est esthétique et moderne, mais il manque de fiabilité.","design","positive"
"Le produit est esthétique et moderne, mais il manque de fiabilité.","fiabilité","negative"
"Le quartier est calme et agréable, mais mal desservi.","cadre","positive"
"Le quartier est calme et agréable, mais mal desservi.","transports","negative"
"Le stage est formateur et intéressant, mais l’encadrement est absent.","apprentissage","positive"
"Le stage est formateur et intéressant, mais l’encadrement est absent.","encadrement","negative"
"Le jeu est immersif et beau, mais il est plein de bugs.","graphismes","positive"
"Le jeu est immersif et beau, mais il est plein de bugs.","stabilité","negative"
"Le café est bon et l’endroit est cosy, mais c’est toujours bondé.","qualité","positive"
"Le café est bon et l’endroit est cosy, mais c’est toujours bondé.","affluence","negative"
"Le débat était pertinent et enrichissant, mais il tournait en rond.","contenu","positive"
"Le débat était pertinent et enrichissant, mais il tournait en rond.","dynamique","negative"
"La plateforme est utile et fait gagner du temps, mais l’interface est confuse.","utilité","positive"
"La plateforme est utile et fait gagner du temps, mais l’interface est confuse.","interface","negative"
"Le voyage était agréable et dépaysant, mais trop de temps perdu en transport.","expérience","positive"
"Le voyage était agréable et dépaysant, mais trop de temps perdu en transport.","transports","negative"
"Le livre est bien écrit et original, mais il y a des longueurs.","style","positive"
"Le livre est bien écrit et original, mais il y a des longueurs.","rythme","negative"
"Le service est rapide et efficace, mais le personnel est froid.","rapidité","positive"
"Le service est rapide et efficace, mais le personnel est froid.","relation client","negative"
"Le concert était intense et l’ambiance incroyable, mais le son était mal réglé.","ambiance","positive"
"Le concert était intense et l’ambiance incroyable, mais le son était mal réglé.","qualité sonore","negative"
"Le produit est simple et abordable, mais il tombe souvent en panne.","prix","positive"
"Le produit est simple et abordable, mais il tombe souvent en panne.","fiabilité","negative"
"Le travail est intéressant et valorisant, mais les perspectives sont faibles.","intérêt","positive"
"Le travail est intéressant et valorisant, mais les perspectives sont faibles.","évolution","negative"
"La réunion était productive et claire, mais beaucoup trop longue.","efficacité","positive"
"La réunion était productive et claire, mais beaucoup trop longue.","durée","negative"
"Le film est visuellement magnifique, mais l’histoire est creuse.","visuel","positive"
"Le film est visuellement magnifique, mais l’histoire est creuse.","scénario","negative"
"Le site est agréable à lire, mais il met trop de temps à charger.","design","positive"
"Le site est agréable à lire, mais il met trop de temps à charger.","performance","negative"
"Le cours est bien organisé et clair, mais le rythme est trop rapide.","structure","positive"
"Le cours est bien organisé et clair, mais le rythme est trop rapide.","rythme","negative"
"Le service est accueillant et sympathique, mais désorganisé.","accueil","positive"
"Le service est accueillant et sympathique, mais désorganisé.","organisation","negative"
"Le projet est prometteur et innovant, mais mal financé.","innovation","positive"
"Le projet est prometteur et innovant, mais mal financé.","financement","negative"
"La ville est dynamique et culturelle, mais bruyante et stressante.","vie culturelle","positive"
"La ville est dynamique et culturelle, mais bruyante et stressante.","bruit","negative"
"Le restaurant est convivial et chaleureux, mais les portions sont minuscules.","ambiance","positive"
"Le restaurant est convivial et chaleureux, mais les portions sont minuscules.","quantité","negative"
"L’application est intuitive et moderne, mais consomme trop de batterie.","ergonomie","positive"
"L’application est intuitive et moderne, mais consomme trop de batterie.","batterie","negative"
"Le film est drôle et divertissant, mais vite oubliable.","divertissement","positive"
"Le film est drôle et divertissant, mais vite oubliable.","impact","negative"
"Le service est fiable et rapide, mais le suivi est inexistant.","fiabilité","positive"
"Le service est fiable et rapide, mais le suivi est inexistant.","suivi","negative"
"Le voyage était confortable et bien organisé, mais sans liberté.","confort","positive"
"Le voyage était confortable et bien organisé, mais sans liberté.","liberté","negative"
"Le jeu est addictif et bien conçu, mais la progression est frustrante.","gameplay","positive"
"Le jeu est addictif et bien conçu, mais la progression est frustrante.","progression","negative"
"Le bar est bien situé et agréable, mais beaucoup trop cher.","emplacement","positive"
"Le bar est bien situé et agréable, mais beaucoup trop cher.","prix","negative"
"Le cours est passionnant et vivant, mais les évaluations sont incohérentes.","enseignement","positive"
"Le cours est passionnant et vivant, mais les évaluations sont incohérentes.","évaluation","negative"
"Le logiciel est complet et puissant, mais difficile à prendre en main.","fonctionnalités","positive"
"Le logiciel est complet et puissant, mais difficile à prendre en main.","prise en main","negative"
"La soirée était animée et festive, mais trop bruyante.","ambiance","positive"
"La soirée était animée et festive, mais trop bruyante.","bruit","negative"
"Le site est sécurisé et fiable, mais l’inscription est compliquée.","sécurité","positive"
"Le site est sécurisé et fiable, mais l’inscription est compliquée.","inscription","negative"
"Le travail est stimulant et varié, mais mal payé.","contenu","positive"
"Le travail est stimulant et varié, mais mal payé.","salaire","negative"
"Le produit est élégant et bien fini, mais peu durable.","finition","positive"
"Le produit est élégant et bien fini, mais peu durable.","durabilité","negative"
"La ville est charmante et historique, mais peu pratique au quotidien.","charme","positive"
"La ville est charmante et historique, mais peu pratique au quotidien.","praticité","negative"
"Le service client est aimable et disponible, mais inefficace.","amabilité","positive"
"Le service client est aimable et disponible, mais inefficace.","efficacité","negative"
"Le film est émouvant et sincère, mais trop long.","émotion","positive"
"Le film est émouvant et sincère, mais trop long.","durée","negative"
"La formation est accessible et bien expliquée, mais superficielle.","clarté","positive"
"La formation est accessible et bien expliquée, mais superficielle.","profondeur","negative"
"Le restaurant est populaire et bien situé, mais bruyant.","emplacement","positive"
"Le restaurant est populaire et bien situé, mais bruyant.","bruit","negative"
"Le projet est structuré et clair, mais manque d’ambition.","structure","positive"
"Le projet est structuré et clair, mais manque d’ambition.","ambition","negative"
"L’application est rapide et fluide, mais plante régulièrement.","performance","positive"
"L’application est rapide et fluide, mais plante régulièrement.","stabilité","negative"
"Le cours est complet et bien documenté, mais difficile à suivre.","documentation","positive"
"Le cours est complet et bien documenté, mais difficile à suivre.","lisibilité","negative"
"Le produit est robuste et fiable, mais très lourd.","fiabilité","positive"
"Le produit est robuste et fiable, mais très lourd.","poids","negative"
"Le bar est agréable et l’ambiance est détendue, mais le service est lent.","ambiance","positive"
"Le bar est agréable et l’ambiance est détendue, mais le service est lent.","service","negative"
"Le cours est clair et structuré, mais les exemples sont trop simplistes.","structure","positive"
"Le cours est clair et structuré, mais les exemples sont trop simplistes.","exemples","negative"
"Le téléphone est rapide et fluide, mais l’écran est fragile.","performance","positive"
"Le téléphone est rapide et fluide, mais l’écran est fragile.","robustesse","negative"
"Le restaurant est convivial et bien décoré, mais la nourriture est fade.","décoration","positive"
"Le restaurant est convivial et bien décoré, mais la nourriture est fade.","qualité des plats","negative"
"Le projet est pertinent et bien cadré, mais l’exécution manque de rigueur.","cadrage","positive"
"Le projet est pertinent et bien cadré, mais l’exécution manque de rigueur.","exécution","negative"
"La ville est belle et dynamique, mais la circulation est infernale.","cadre","positive"
"La ville est belle et dynamique, mais la circulation est infernale.","trafic","negative"
"L’équipe est soudée et motivée, mais la communication interne est mauvaise.","cohésion","positive"
"L’équipe est soudée et motivée, mais la communication interne est mauvaise.","communication","negative"
"Le site est intuitif et agréable, mais il plante souvent.","ergonomie","positive"
"Le site est intuitif et agréable, mais il plante souvent.","stabilité","negative"
"Le film est émouvant et bien joué, mais le rythme est inégal.","jeu d’acteurs","positive"
"Le film est émouvant et bien joué, mais le rythme est inégal.","rythme","negative"
"La formation est complète et reconnue, mais trop académique.","contenu","positive"
"La formation est complète et reconnue, mais trop académique.","pratique","negative"
"Le service client est réactif et poli, mais peu efficace.","réactivité","positive"
"Le service client est réactif et poli, mais peu efficace.","efficacité","negative"
"L’hôtel est propre et bien placé, mais mal insonorisé.","propreté","positive"
"L’hôtel est propre et bien placé, mais mal insonorisé.","insonorisation","negative"
"Le logiciel est puissant et stable, mais très gourmand en ressources.","stabilité","positive"
"Le logiciel est puissant et stable, mais très gourmand en ressources.","consommation","negative"
"La soirée était conviviale et animée, mais trop bruyante.","ambiance","positive"
"La soirée était conviviale et animée, mais trop bruyante.","bruit","negative"
"Le cours en ligne est flexible et accessible, mais manque d’interactions.","flexibilité","positive"
"Le cours en ligne est flexible et accessible, mais manque d’interactions.","interaction","negative"
"Le produit est élégant et bien fini, mais peu ergonomique.","design","positive"
"Le produit est élégant et bien fini, mais peu ergonomique.","ergonomie","negative"
"Le quartier est calme et verdoyant, mais mal desservi.","environnement","positive"
"Le quartier est calme et verdoyant, mais mal desservi.","transports","negative"
"Le stage est formateur et stimulant, mais les objectifs sont flous.","apprentissage","positive"
"Le stage est formateur et stimulant, mais les objectifs sont flous.","objectifs","negative"
"Le jeu est immersif et beau, mais répétitif.","graphismes","positive"
"Le jeu est immersif et beau, mais répétitif.","variété","negative"
"Le café est savoureux et l’endroit cosy, mais les prix sont élevés.","qualité","positive"
"Le café est savoureux et l’endroit cosy, mais les prix sont élevés.","prix","negative"
"Le débat était riche et intéressant, mais mal modéré.","contenu","positive"
"Le débat était riche et intéressant, mais mal modéré.","modération","negative"
"La plateforme est complète et utile, mais lente.","fonctionnalités","positive"
"La plateforme est complète et utile, mais lente.","performance","negative"
"Le voyage était dépaysant et agréable, mais fatigant.","expérience","positive"
"Le voyage était dépaysant et agréable, mais fatigant.","fatigue","negative"
"Le livre est original et bien écrit, mais trop long.","style","positive"
"Le livre est original et bien écrit, mais trop long.","longueur","negative"
"Le service est rapide et fiable, mais impersonnel.","rapidité","positive"
"Le service est rapide et fiable, mais impersonnel.","relation client","negative"
"Le concert était intense et mémorable, mais le son saturait.","ambiance","positive"
"Le concert était intense et mémorable, mais le son saturait.","son","negative"
"Le produit est simple et abordable, mais fragile.","simplicité","positive"
"Le produit est simple et abordable, mais fragile.","solidité","negative"
"Le travail est motivant et varié, mais mal reconnu.","contenu","positive"
"Le travail est motivant et varié, mais mal reconnu.","reconnaissance","negative"
"La réunion était claire et structurée, mais inutilement longue.","structure","positive"
"La réunion était claire et structurée, mais inutilement longue.","durée","negative"
"Le film est esthétique et bien réalisé, mais sans profondeur.","visuel","positive"
"Le film est esthétique et bien réalisé, mais sans profondeur.","scénario","negative"
"Le site est lisible et bien organisé, mais lent au chargement.","lisibilité","positive"
"Le site est lisible et bien organisé, mais lent au chargement.","chargement","negative"
"Le cours est logique et progressif, mais monotone.","organisation","positive"
"Le cours est logique et progressif, mais monotone.","dynamisme","negative"
"Le service est aimable et disponible, mais désorganisé.","accueil","positive"
"Le service est aimable et disponible, mais désorganisé.","organisation","negative"
"Le projet est ambitieux et structurant, mais sous-financé.","ambition","positive"
"Le projet est ambitieux et structurant, mais sous-financé.","financement","negative"
"La ville est vivante et culturelle, mais stressante.","culture","positive"
"La ville est vivante et culturelle, mais stressante.","stress","negative"
"Le restaurant est chaleureux et accueillant, mais lent.","ambiance","positive"
"Le restaurant est chaleureux et accueillant, mais lent.","service","negative"
"L’application est fluide et moderne, mais peu sécurisée.","performance","positive"
"L’application est fluide et moderne, mais peu sécurisée.","sécurité","negative"
"Le film est divertissant et rythmé, mais prévisible.","divertissement","positive"
"Le film est divertissant et rythmé, mais prévisible.","originalité","negative"
"Le service est professionnel et sérieux, mais froid.","professionnalisme","positive"
"Le service est professionnel et sérieux, mais froid.","chaleur humaine","negative"
"Le voyage était confortable et bien planifié, mais trop encadré.","confort","positive"
"Le voyage était confortable et bien planifié, mais trop encadré.","liberté","negative"
"Le jeu est fluide et réactif, mais pauvre en contenu.","performance","positive"
"Le jeu est fluide et réactif, mais pauvre en contenu.","contenu","negative"
"Le bar est bien situé et agréable, mais cher.","emplacement","positive"
"Le bar est bien situé et agréable, mais cher.","prix","negative"
"Le cours est captivant et bien illustré, mais mal évalué.","pédagogie","positive"
"Le cours est captivant et bien illustré, mais mal évalué.","évaluation","negative"
"Le logiciel est complet et fiable, mais complexe.","fonctionnalités","positive"
"Le logiciel est complet et fiable, mais complexe.","prise en main","negative"
"La soirée était festive et conviviale, mais trop courte.","ambiance","positive"
"La soirée était festive et conviviale, mais trop courte.","durée","negative"
"Le site est sécurisé et robuste, mais peu intuitif.","sécurité","positive"
"Le site est sécurisé et robuste, mais peu intuitif.","ergonomie","negative"
"Le travail est stable et bien organisé, mais répétitif.","stabilité","positive"
"Le travail est stable et bien organisé, mais répétitif.","variété","negative"
"Le produit est soigné et esthétique, mais peu durable.","finition","positive"
"Le produit est soigné et esthétique, mais peu durable.","durabilité","negative"
"La ville est charmante et historique, mais mal connectée.","charme","positive"
"La ville est charmante et historique, mais mal connectée.","connectivité","negative"
"Le service client est aimable et patient, mais inefficace.","amabilité","positive"
"Le service client est aimable et patient, mais inefficace.","résolution","negative"
"Le film est émouvant et sincère, mais s’étire trop.","émotion","positive"
"Le film est émouvant et sincère, mais s’étire trop.","rythme","negative"
"La formation est claire et accessible, mais trop superficielle.","clarté","positive"
"La formation est claire et accessible, mais trop superficielle.","profondeur","negative"
"Le restaurant est populaire et bien placé, mais bruyant.","emplacement","positive"
"Le restaurant est populaire et bien placé, mais bruyant.","bruit","negative"
"Le projet est cohérent et structuré, mais peu créatif.","structure","positive"
"Le projet est cohérent et structuré, mais peu créatif.","créativité","negative"
"L’application est rapide et efficace, mais instable.","vitesse","positive"
"L’application est rapide et efficace, mais instable.","stabilité","negative"
"Le cours est complet et rigoureux, mais exigeant.","rigueur","positive"
"Le cours est complet et rigoureux, mais exigeant.","difficulté","negative"
"Le produit est robuste et fiable, mais encombrant.","fiabilité","positive"
"Le produit est robuste et fiable, mais encombrant.","poids","negative"
"Le bar est original et chaleureux, mais mal organisé.","originalité","positive"
"Le bar est original et chaleureux, mais mal organisé.","organisation","negative"
"Le site est clair et informatif, mais daté.","information","positive"
"Le site est clair et informatif, mais daté.","modernité","negative"
"Le travail est enrichissant et stimulant, mais instable.","intérêt","positive"
"Le travail est enrichissant et stimulant, mais instable.","sécurité","negative"
"Le film est visuellement impressionnant, mais confus.","visuel","positive"
"Le film est visuellement impressionnant, mais confus.","clarté du récit","negative"
"Le cours est interactif et participatif, mais mal structuré.","interaction","positive"
"Le cours est interactif et participatif, mais mal structuré.","structure","negative"
"Le service est disponible et flexible, mais lent.","disponibilité","positive"
"Le service est disponible et flexible, mais lent.","vitesse","negative"
"Le projet est innovant et audacieux, mais risqué.","innovation","positive"
"Le projet est innovant et audacieux, mais risqué.","fiabilité","negative"
"La ville est verte et agréable, mais peu animée.","environnement","positive"
"La ville est verte et agréable, mais peu animée.","animation","negative"
"Le restaurant est rapide et efficace, mais impersonnel.","rapidité","positive"
"Le restaurant est rapide et efficace, mais impersonnel.","relation client","negative"
"L’application est pratique et fonctionnelle, mais austère.","utilité","positive"
"L’application est pratique et fonctionnelle, mais austère.","design","negative"
"Le film est drôle et léger, mais sans profondeur.","humour","positive"
"Le film est drôle et léger, mais sans profondeur.","contenu","negative"
"Le service est constant et fiable, mais peu flexible.","fiabilité","positive"
"Le service est constant et fiable, mais peu flexible.","flexibilité","negative"
"Le voyage était confortable et fluide, mais sans surprise.","confort","positive"
"Le voyage était confortable et fluide, mais sans surprise.","originalité","negative"
"Le jeu est beau et immersif, mais trop court.","graphismes","positive"
"Le jeu est beau et immersif, mais trop court.","durée","negative"
"Le bar est convivial et animé, mais mal insonorisé.","ambiance","positive"
"Le bar est convivial et animé, mais mal insonorisé.","insonorisation","negative"
"Le cours est clair et pédagogique, mais trop lent.","pédagogie","positive"
"Le cours est clair et pédagogique, mais trop lent.","rythme","negative"
"Le logiciel est stable et fiable, mais limité.","stabilité","positive"
"Le logiciel est stable et fiable, mais limité.","fonctionnalités","negative"
"La soirée était chaleureuse et détendue, mais désorganisée.","ambiance","positive"
"La soirée était chaleureuse et détendue, mais désorganisée.","organisation","negative"
"Le site est moderne et attractif, mais peu accessible.","design","positive"
"Le site est moderne et attractif, mais peu accessible.","accessibilité","negative"
"Le travail est encadré et structuré, mais peu autonome.","encadrement","positive"
"Le travail est encadré et structuré, mais peu autonome.","autonomie","negative"
"Le produit est innovant et séduisant, mais fragile.","innovation","positive"
"Le produit est innovant et séduisant, mais fragile.","solidité","negative"
"La ville est accueillante et agréable, mais chère.","qualité de vie","positive"
"La ville est accueillante et agréable, mais chère.","coût","negative"
"Le service client est disponible et aimable, mais inefficace.","disponibilité","positive"
"Le service client est disponible et aimable, mais inefficace.","efficacité","negative"
"Le film est captivant et bien monté, mais prévisible.","montage","positive"
"Le film est captivant et bien monté, mais prévisible.","surprise","negative"
"La formation est claire et progressive, mais trop courte.","progression","positive"
"La formation est claire et progressive, mais trop courte.","durée","negative"
"Le restaurant est élégant et soigné, mais lent.","cadre","positive"
"Le restaurant est élégant et soigné, mais lent.","service","negative"
"Le projet est ambitieux et fédérateur, mais mal coordonné.","ambition","positive"
"Le projet est ambitieux et fédérateur, mais mal coordonné.","coordination","negative"
"L’application est rapide et intuitive, mais instable.","ergonomie","positive"
"L’application est rapide et intuitive, mais instable.","stabilité","negative"
"Le cours est structuré et logique, mais trop dense.","organisation","positive"
"Le cours est structuré et logique, mais trop dense.","densité","negative"
"Le produit est fiable et performant, mais bruyant.","performance","positive"
"Le produit est fiable et performant, mais bruyant.","bruit","negative"
"Franchement le bar est super agréable quand tu arrives, l’ambiance est détendue, la musique est bien choisie et tu te sens à l’aise tout de suite, mais dès que tu commandes tu te rends compte que le service est lent et qu’on t’oublie facilement.","ambiance","positive"
"Franchement le bar est super agréable quand tu arrives, l’ambiance est détendue, la musique est bien choisie et tu te sens à l’aise tout de suite, mais dès que tu commandes tu te rends compte que le service est lent et qu’on t’oublie facilement.","service","negative"
"Le cours est vraiment clair du début à la fin, le prof structure bien ses idées, prend le temps de répondre aux questions et donne des exemples parlants, mais au moment des examens on a l’impression que rien ne correspond au contenu vu en classe.","pédagogie","positive"
"Le cours est vraiment clair du début à la fin, le prof structure bien ses idées, prend le temps de répondre aux questions et donne des exemples parlants, mais au moment des examens on a l’impression que rien ne correspond au contenu vu en classe.","évaluation","negative"
"Le téléphone est super fluide au quotidien, les applications s’ouvrent vite, l’écran est agréable et tout semble réactif, mais dès que tu t’en sers un peu longtemps tu vois que la batterie fond et que tu dois toujours avoir un chargeur.","performance","positive"
"Le téléphone est super fluide au quotidien, les applications s’ouvrent vite, l’écran est agréable et tout semble réactif, mais dès que tu t’en sers un peu longtemps tu vois que la batterie fond et que tu dois toujours avoir un chargeur.","batterie","negative"
"Le restaurant donne une super première impression, la salle est chaleureuse, la déco est soignée et on se sent bien installé, mais une fois les plats arrivés tu te rends compte que les saveurs sont assez fades et que ça manque clairement de caractère.","décoration","positive"
"Le restaurant donne une super première impression, la salle est chaleureuse, la déco est soignée et on se sent bien installé, mais une fois les plats arrivés tu te rends compte que les saveurs sont assez fades et que ça manque clairement de caractère.","qualité des plats","negative"
"Le projet est vraiment pertinent sur le papier, l’idée est bien pensée, le cadre est clair et tout le monde voit l’intérêt, mais quand on regarde de près l’exécution on sent que c’est bâclé et que beaucoup de détails n’ont pas été travaillés.","cadrage","positive"
"Le projet est vraiment pertinent sur le papier, l’idée est bien pensée, le cadre est clair et tout le monde voit l’intérêt, mais quand on regarde de près l’exécution on sent que c’est bâclé et que beaucoup de détails n’ont pas été travaillés.","exécution","negative"
"La ville est franchement agréable à vivre, il y a de beaux quartiers, une vraie vie culturelle et toujours quelque chose à faire le soir, mais au quotidien la circulation est un enfer et perdre une heure dans les embouteillages devient vite épuisant.","qualité de vie","positive"
"La ville est franchement agréable à vivre, il y a de beaux quartiers, une vraie vie culturelle et toujours quelque chose à faire le soir, mais au quotidien la circulation est un enfer et perdre une heure dans les embouteillages devient vite épuisant.","circulation","negative"
"L’équipe est vraiment soudée, l’ambiance est bonne, on se soutient entre collègues et on a l’impression de travailler avec des gens motivés, mais dès qu’il faut faire passer une information importante la communication devient chaotique et personne n’est aligné.","cohésion","positive"
"L’équipe est vraiment soudée, l’ambiance est bonne, on se soutient entre collègues et on a l’impression de travailler avec des gens motivés, mais dès qu’il faut faire passer une information importante la communication devient chaotique et personne n’est aligné.","communication","negative"
"Le site est agréable à parcourir, tout est bien organisé, on trouve facilement ce qu’on cherche et la navigation est intuitive, mais il suffit de cliquer un peu trop vite pour que tout se mette à buguer et que la page se recharge sans raison.","ergonomie","positive"
"Le site est agréable à parcourir, tout est bien organisé, on trouve facilement ce qu’on cherche et la navigation est intuitive, mais il suffit de cliquer un peu trop vite pour que tout se mette à buguer et que la page se recharge sans raison.","stabilité","negative"
