text,aspect,label,text_traduit_en
"La plateforme est utile et fait gagner du temps, mais l’interface est moche.",utilité,positive,"La plateforme est utile et fait gagner du temps, mais l’interface est moche."
"La plateforme est utile et fait gagner du temps, mais l’interface est moche.",interface,negative,"La plateforme est utile et fait gagner du temps, mais l’interface est moche."
"Le voyage en groupe était convivial et on a bien rigolé, mais zéro liberté dans le planning.",convivialité,positive,"Le voyage en groupe était convivial et on a bien rigolé, mais zéro liberté dans le planning."
"Le voyage en groupe était convivial et on a bien rigolé, mais zéro liberté dans le planning.",liberté,negative,"Le voyage en groupe était convivial et on a bien rigolé, mais zéro liberté dans le planning."
"Le travail est valorisant et on se sent utile, mais la reconnaissance est faible.",sens du travail,positive,"Le travail est valorisant et on se sent utile, mais la reconnaissance est faible."
"Le travail est valorisant et on se sent utile, mais la reconnaissance est faible.",reconnaissance,negative,"Le travail est valorisant et on se sent utile, mais la reconnaissance est faible."
"Le concept est moderne et répond à un besoin réel, mais l’exécution est maladroite.",idée,positive,"Le concept est moderne et répond à un besoin réel, mais l’exécution est maladroite."
"Le concept est moderne et répond à un besoin réel, mais l’exécution est maladroite.",exécution,negative,"Le concept est moderne et répond à un besoin réel, mais l’exécution est maladroite."
"Le bar est sympa et l’ambiance est cool, mais le service est lent.",ambiance,positive,"Le bar est sympa et l’ambiance est cool, mais le service est lent."
"Le bar est sympa et l’ambiance est cool, mais le service est lent.",service,negative,"Le bar est sympa et l’ambiance est cool, mais le service est lent."
"Le cours est intéressant et clair, mais les examens sont injustes.",contenu,positive,"Le cours est intéressant et clair, mais les examens sont injustes."
"Le cours est intéressant et clair, mais les examens sont injustes.",évaluation,negative,"Le cours est intéressant et clair, mais les examens sont injustes."
"Le téléphone est fluide et rapide, mais la batterie ne tient pas.",performance,positive,"Le téléphone est fluide et rapide, mais la batterie ne tient pas."
"Le téléphone est fluide et rapide, mais la batterie ne tient pas.",batterie,negative,"Le téléphone est fluide et rapide, mais la batterie ne tient pas."
"Le resto est chaleureux et la déco est belle, mais les plats sont fades.",décoration,positive,"Le resto est chaleureux et la déco est belle, mais les plats sont fades."
"Le resto est chaleureux et la déco est belle, mais les plats sont fades.",qualité des plats,negative,"Le resto est chaleureux et la déco est belle, mais les plats sont fades."
"Le projet est ambitieux et l’idée est bonne, mais l’exécution est bancale.",idée,positive,"Le projet est ambitieux et l’idée est bonne, mais l’exécution est bancale."
"Le projet est ambitieux et l’idée est bonne, mais l’exécution est bancale.",exécution,negative,"Le projet est ambitieux et l’idée est bonne, mais l’exécution est bancale."
"La ville est magnifique et culturelle, mais la vie est hors de prix.",cadre de vie,positive,"La ville est magnifique et culturelle, mais la vie est hors de prix."
"La ville est magnifique et culturelle, mais la vie est hors de prix.",coût de la vie,negative,"La ville est magnifique et culturelle, mais la vie est hors de prix."
"L’équipe est motivée et l’ambiance est saine, mais la charge est énorme.",ambiance d’équipe,positive,"L’équipe est motivée et l’ambiance est saine, mais la charge est énorme."
"L’équipe est motivée et l’ambiance est saine, mais la charge est énorme.",charge de travail,negative,"L’équipe est motivée et l’ambiance est saine, mais la charge est énorme."
"Le site est clair et pratique, mais il bug souvent.",ergonomie,positive,"Le site est clair et pratique, mais il bug souvent."
"Le site est clair et pratique, mais il bug souvent.",stabilité,negative,"Le site est clair et pratique, mais il bug souvent."
"Le film est bien joué et les acteurs sont convaincants, mais le scénario est prévisible.",jeu d’acteurs,positive,"Le film est bien joué et les acteurs sont convaincants, mais le scénario est prévisible."
"Le film est bien joué et les acteurs sont convaincants, mais le scénario est prévisible.",scénario,negative,"Le film est bien joué et les acteurs sont convaincants, mais le scénario est prévisible."
"La formation est solide et on apprend beaucoup, mais c’est trop théorique.",contenu,positive,"La formation est solide et on apprend beaucoup, mais c’est trop théorique."
"La formation est solide et on apprend beaucoup, mais c’est trop théorique.",pratique,negative,"La formation est solide et on apprend beaucoup, mais c’est trop théorique."
"Le service client est poli et réactif, mais il ne règle pas le problème.",réactivité,positive,"Le service client est poli et réactif, mais il ne règle pas le problème."
"Le service client est poli et réactif, mais il ne règle pas le problème.",efficacité,negative,"Le service client est poli et réactif, mais il ne règle pas le problème."
"L’hôtel est propre et bien situé, mais les chambres sont minuscules.",propreté,positive,"L’hôtel est propre et bien situé, mais les chambres sont minuscules."
"L’hôtel est propre et bien situé, mais les chambres sont minuscules.",taille des chambres,negative,"L’hôtel est propre et bien situé, mais les chambres sont minuscules."
"Le logiciel est puissant et complet, mais il est lent au démarrage.",fonctionnalités,positive,"Le logiciel est puissant et complet, mais il est lent au démarrage."
"Le logiciel est puissant et complet, mais il est lent au démarrage.",performance,negative,"Le logiciel est puissant et complet, mais il est lent au démarrage."
"La soirée était fun et on a bien rigolé, mais l’organisation était catastrophique.",ambiance,positive,"La soirée était fun et on a bien rigolé, mais l’organisation était catastrophique."
"La soirée était fun et on a bien rigolé, mais l’organisation était catastrophique.",organisation,negative,"La soirée était fun et on a bien rigolé, mais l’organisation était catastrophique."
"Le cours en ligne est flexible et pratique, mais on décroche vite.",flexibilité,positive,"Le cours en ligne est flexible et pratique, mais on décroche vite."
"Le cours en ligne est flexible et pratique, mais on décroche vite.",engagement,negative,"Le cours en ligne est flexible et pratique, mais on décroche vite."
"Le produit est esthétique et moderne, mais il manque de fiabilité.",design,positive,"Le produit est esthétique et moderne, mais il manque de fiabilité."
"Le produit est esthétique et moderne, mais il manque de fiabilité.",fiabilité,negative,"Le produit est esthétique et moderne, mais il manque de fiabilité."
"Le quartier est calme et agréable, mais mal desservi.",cadre,positive,"Le quartier est calme et agréable, mais mal desservi."
"Le quartier est calme et agréable, mais mal desservi.",transports,negative,"Le quartier est calme et agréable, mais mal desservi."
"Le stage est formateur et intéressant, mais l’encadrement est absent.",apprentissage,positive,"Le stage est formateur et intéressant, mais l’encadrement est absent."
"Le stage est formateur et intéressant, mais l’encadrement est absent.",encadrement,negative,"Le stage est formateur et intéressant, mais l’encadrement est absent."
"Le jeu est immersif et beau, mais il est plein de bugs.",graphismes,positive,"Le jeu est immersif et beau, mais il est plein de bugs."
"Le jeu est immersif et beau, mais il est plein de bugs.",stabilité,negative,"Le jeu est immersif et beau, mais il est plein de bugs."
"Le café est bon et l’endroit est cosy, mais c’est toujours bondé.",qualité,positive,"Le café est bon et l’endroit est cosy, mais c’est toujours bondé."
"Le café est bon et l’endroit est cosy, mais c’est toujours bondé.",affluence,negative,"Le café est bon et l’endroit est cosy, mais c’est toujours bondé."
"Le débat était pertinent et enrichissant, mais il tournait en rond.",contenu,positive,"Le débat était pertinent et enrichissant, mais il tournait en rond."
"Le débat était pertinent et enrichissant, mais il tournait en rond.",dynamique,negative,"Le débat était pertinent et enrichissant, mais il tournait en rond."
"La plateforme est utile et fait gagner du temps, mais l’interface est confuse.",utilité,positive,"La plateforme est utile et fait gagner du temps, mais l’interface est confuse."
"La plateforme est utile et fait gagner du temps, mais l’interface est confuse.",interface,negative,"La plateforme est utile et fait gagner du temps, mais l’interface est confuse."
"Le voyage était agréable et dépaysant, mais trop de temps perdu en transport.",expérience,positive,"Le voyage était agréable et dépaysant, mais trop de temps perdu en transport."
"Le voyage était agréable et dépaysant, mais trop de temps perdu en transport.",transports,negative,"Le voyage était agréable et dépaysant, mais trop de temps perdu en transport."
"Le livre est bien écrit et original, mais il y a des longueurs.",style,positive,"Le livre est bien écrit et original, mais il y a des longueurs."
"Le livre est bien écrit et original, mais il y a des longueurs.",rythme,negative,"Le livre est bien écrit et original, mais il y a des longueurs."
"Le service est rapide et efficace, mais le personnel est froid.",rapidité,positive,"Le service est rapide et efficace, mais le personnel est froid."
"Le service est rapide et efficace, mais le personnel est froid.",relation client,negative,"Le service est rapide et efficace, mais le personnel est froid."
"Le concert était intense et l’ambiance incroyable, mais le son était mal réglé.",ambiance,positive,"Le concert était intense et l’ambiance incroyable, mais le son était mal réglé."
"Le concert était intense et l’ambiance incroyable, mais le son était mal réglé.",qualité sonore,negative,"Le concert était intense et l’ambiance incroyable, mais le son était mal réglé."
"Le produit est simple et abordable, mais il tombe souvent en panne.",prix,positive,"Le produit est simple et abordable, mais il tombe souvent en panne."
"Le produit est simple et abordable, mais il tombe souvent en panne.",fiabilité,negative,"Le produit est simple et abordable, mais il tombe souvent en panne."
"Le travail est intéressant et valorisant, mais les perspectives sont faibles.",intérêt,positive,"Le travail est intéressant et valorisant, mais les perspectives sont faibles."
"Le travail est intéressant et valorisant, mais les perspectives sont faibles.",évolution,negative,"Le travail est intéressant et valorisant, mais les perspectives sont faibles."
"La réunion était productive et claire, mais beaucoup trop longue.",efficacité,positive,"La réunion était productive et claire, mais beaucoup trop longue."
"La réunion était productive et claire, mais beaucoup trop longue.",durée,negative,"La réunion était productive et claire, mais beaucoup trop longue."
"Le film est visuellement magnifique, mais l’histoire est creuse.",visuel,positive,"Le film est visuellement magnifique, mais l’histoire est creuse."
"Le film est visuellement magnifique, mais l’histoire est creuse.",scénario,negative,"Le film est visuellement magnifique, mais l’histoire est creuse."
"Le site est agréable à lire, mais il met trop de temps à charger.",design,positive,"Le site est agréable à lire, mais il met trop de temps à charger."
"Le site est agréable à lire, mais il met trop de temps à charger.",performance,negative,"Le site est agréable à lire, mais il met trop de temps à charger."
"Le cours est bien organisé et clair, mais le rythme est trop rapide.",structure,positive,"Le cours est bien organisé et clair, mais le rythme est trop rapide."
"Le cours est bien organisé et clair, mais le rythme est trop rapide.",rythme,negative,"Le cours est bien organisé et clair, mais le rythme est trop rapide."
"Le service est accueillant et sympathique, mais désorganisé.",accueil,positive,"Le service est accueillant et sympathique, mais désorganisé."
"Le service est accueillant et sympathique, mais désorganisé.",organisation,negative,"Le service est accueillant et sympathique, mais désorganisé."
"Le projet est prometteur et innovant, mais mal financé.",innovation,positive,"Le projet est prometteur et innovant, mais mal financé."
"Le projet est prometteur et innovant, mais mal financé.",financement,negative,"Le projet est prometteur et innovant, mais mal financé."
"La ville est dynamique et culturelle, mais bruyante et stressante.",vie culturelle,positive,"La ville est dynamique et culturelle, mais bruyante et stressante."
"La ville est dynamique et culturelle, mais bruyante et stressante.",bruit,negative,"La ville est dynamique et culturelle, mais bruyante et stressante."
"Le restaurant est convivial et chaleureux, mais les portions sont minuscules.",ambiance,positive,"Le restaurant est convivial et chaleureux, mais les portions sont minuscules."
"Le restaurant est convivial et chaleureux, mais les portions sont minuscules.",quantité,negative,"Le restaurant est convivial et chaleureux, mais les portions sont minuscules."
"L’application est intuitive et moderne, mais consomme trop de batterie.",ergonomie,positive,"L’application est intuitive et moderne, mais consomme trop de batterie."
"L’application est intuitive et moderne, mais consomme trop de batterie.",batterie,negative,"L’application est intuitive et moderne, mais consomme trop de batterie."
"Le film est drôle et divertissant, mais vite oubliable.",divertissement,positive,"Le film est drôle et divertissant, mais vite oubliable."
"Le film est drôle et divertissant, mais vite oubliable.",impact,negative,"Le film est drôle et divertissant, mais vite oubliable."
"Le service est fiable et rapide, mais le suivi est inexistant.",fiabilité,positive,"Le service est fiable et rapide, mais le suivi est inexistant."
"Le service est fiable et rapide, mais le suivi est inexistant.",suivi,negative,"Le service est fiable et rapide, mais le suivi est inexistant."
"Le voyage était confortable et bien organisé, mais sans liberté.",confort,positive,"Le voyage était confortable et bien organisé, mais sans liberté."
"Le voyage était confortable et bien organisé, mais sans liberté.",liberté,negative,"Le voyage était confortable et bien organisé, mais sans liberté."
"Le jeu est addictif et bien conçu, mais la progression est frustrante.",gameplay,positive,"Le jeu est addictif et bien conçu, mais la progression est frustrante."
"Le jeu est addictif et bien conçu, mais la progression est frustrante.",progression,negative,"Le jeu est addictif et bien conçu, mais la progression est frustrante."
"Le bar est bien situé et agréable, mais beaucoup trop cher.",emplacement,positive,"Le bar est bien situé et agréable, mais beaucoup trop cher."
"Le bar est bien situé et agréable, mais beaucoup trop cher.",prix,negative,"Le bar est bien situé et agréable, mais beaucoup trop cher."
"Le cours est passionnant et vivant, mais les évaluations sont incohérentes.",enseignement,positive,"Le cours est passionnant et vivant, mais les évaluations sont incohérentes."
"Le cours est passionnant et vivant, mais les évaluations sont incohérentes.",évaluation,negative,"Le cours est passionnant et vivant, mais les évaluations sont incohérentes."
"Le logiciel est complet et puissant, mais difficile à prendre en main.",fonctionnalités,positive,"Le logiciel est complet et puissant, mais difficile à prendre en main."
"Le logiciel est complet et puissant, mais difficile à prendre en main.",prise en main,negative,"Le logiciel est complet et puissant, mais difficile à prendre en main."
"La soirée était animée et festive, mais trop bruyante.",ambiance,positive,"La soirée était animée et festive, mais trop bruyante."
"La soirée était animée et festive, mais trop bruyante.",bruit,negative,"La soirée était animée et festive, mais trop bruyante."
"Le site est sécurisé et fiable, mais l’inscription est compliquée.",sécurité,positive,"Le site est sécurisé et fiable, mais l’inscription est compliquée."
"Le site est sécurisé et fiable, mais l’inscription est compliquée.",inscription,negative,"Le site est sécurisé et fiable, mais l’inscription est compliquée."
"Le travail est stimulant et varié, mais mal payé.",contenu,positive,"Le travail est stimulant et varié, mais mal payé."
"Le travail est stimulant et varié, mais mal payé.",salaire,negative,"Le travail est stimulant et varié, mais mal payé."
"Le produit est élégant et bien fini, mais peu durable.",finition,positive,"Le produit est élégant et bien fini, mais peu durable."
"Le produit est élégant et bien fini, mais peu durable.",durabilité,negative,"Le produit est élégant et bien fini, mais peu durable."
"La ville est charmante et historique, mais peu pratique au quotidien.",charme,positive,"La ville est charmante et historique, mais peu pratique au quotidien."
"La ville est charmante et historique, mais peu pratique au quotidien.",praticité,negative,"La ville est charmante et historique, mais peu pratique au quotidien."
"Le service client est aimable et disponible, mais inefficace.",amabilité,positive,"Le service client est aimable et disponible, mais inefficace."
"Le service client est aimable et disponible, mais inefficace.",efficacité,negative,"Le service client est aimable et disponible, mais inefficace."
"Le film est émouvant et sincère, mais trop long.",émotion,positive,"Le film est émouvant et sincère, mais trop long."
"Le film est émouvant et sincère, mais trop long.",durée,negative,"Le film est émouvant et sincère, mais trop long."
"La formation est accessible et bien expliquée, mais superficielle.",clarté,positive,"La formation est accessible et bien expliquée, mais superficielle."
"La formation est accessible et bien expliquée, mais superficielle.",profondeur,negative,"La formation est accessible et bien expliquée, mais superficielle."
"Le restaurant est populaire et bien situé, mais bruyant.",emplacement,positive,"Le restaurant est populaire et bien situé, mais bruyant."
"Le restaurant est populaire et bien situé, mais bruyant.",bruit,negative,"Le restaurant est populaire et bien situé, mais bruyant."
"Le projet est structuré et clair, mais manque d’ambition.",structure,positive,"Le projet est structuré et clair, mais manque d’ambition."
"Le projet est structuré et clair, mais manque d’ambition.",ambition,negative,"Le projet est structuré et clair, mais manque d’ambition."
"L’application est rapide et fluide, mais plante régulièrement.",performance,positive,"L’application est rapide et fluide, mais plante régulièrement."
"L’application est rapide et fluide, mais plante régulièrement.",stabilité,negative,"L’application est rapide et fluide, mais plante régulièrement."
"Le cours est complet et bien documenté, mais difficile à suivre.",documentation,positive,"Le cours est complet et bien documenté, mais difficile à suivre."
"Le cours est complet et bien documenté, mais difficile à suivre.",lisibilité,negative,"Le cours est complet et bien documenté, mais difficile à suivre."
"Le produit est robuste et fiable, mais très lourd.",fiabilité,positive,"Le produit est robuste et fiable, mais très lourd."
"Le produit est robuste et fiable, mais très lourd.",poids,negative,"Le produit est robuste et fiable, mais très lourd."
"Le bar est agréable et l’ambiance est détendue, mais le service est lent.",ambiance,positive,"Le bar est agréable et l’ambiance est détendue, mais le service est lent."
"Le bar est agréable et l’ambiance est détendue, mais le service est lent.",service,negative,"Le bar est agréable et l’ambiance est détendue, mais le service est lent."
"Le cours est clair et structuré, mais les exemples sont trop simplistes.",structure,positive,"Le cours est clair et structuré, mais les exemples sont trop simplistes."
"Le cours est clair et structuré, mais les exemples sont trop simplistes.",exemples,negative,"Le cours est clair et structuré, mais les exemples sont trop simplistes."
"Le téléphone est rapide et fluide, mais l’écran est fragile.",performance,positive,"Le téléphone est rapide et fluide, mais l’écran est fragile."
"Le téléphone est rapide et fluide, mais l’écran est fragile.",robustesse,negative,"Le téléphone est rapide et fluide, mais l’écran est fragile."
"Le restaurant est convivial et bien décoré, mais la nourriture est fade.",décoration,positive,"Le restaurant est convivial et bien décoré, mais la nourriture est fade."
"Le restaurant est convivial et bien décoré, mais la nourriture est fade.",qualité des plats,negative,"Le restaurant est convivial et bien décoré, mais la nourriture est fade."
"Le projet est pertinent et bien cadré, mais l’exécution manque de rigueur.",cadrage,positive,"Le projet est pertinent et bien cadré, mais l’exécution manque de rigueur."
"Le projet est pertinent et bien cadré, mais l’exécution manque de rigueur.",exécution,negative,"Le projet est pertinent et bien cadré, mais l’exécution manque de rigueur."
"La ville est belle et dynamique, mais la circulation est infernale.",cadre,positive,"La ville est belle et dynamique, mais la circulation est infernale."
"La ville est belle et dynamique, mais la circulation est infernale.",trafic,negative,"La ville est belle et dynamique, mais la circulation est infernale."
"L’équipe est soudée et motivée, mais la communication interne est mauvaise.",cohésion,positive,"L’équipe est soudée et motivée, mais la communication interne est mauvaise."
"L’équipe est soudée et motivée, mais la communication interne est mauvaise.",communication,negative,"L’équipe est soudée et motivée, mais la communication interne est mauvaise."
"Le site est intuitif et agréable, mais il plante souvent.",ergonomie,positive,"Le site est intuitif et agréable, mais il plante souvent."
"Le site est intuitif et agréable, mais il plante souvent.",stabilité,negative,"Le site est intuitif et agréable, mais il plante souvent."
"Le film est émouvant et bien joué, mais le rythme est inégal.",jeu d’acteurs,positive,"Le film est émouvant et bien joué, mais le rythme est inégal."
"Le film est émouvant et bien joué, mais le rythme est inégal.",rythme,negative,"Le film est émouvant et bien joué, mais le rythme est inégal."
"La formation est complète et reconnue, mais trop académique.",contenu,positive,"La formation est complète et reconnue, mais trop académique."
"La formation est complète et reconnue, mais trop académique.",pratique,negative,"La formation est complète et reconnue, mais trop académique."
"Le service client est réactif et poli, mais peu efficace.",réactivité,positive,"Le service client est réactif et poli, mais peu efficace."
"Le service client est réactif et poli, mais peu efficace.",efficacité,negative,"Le service client est réactif et poli, mais peu efficace."
"L’hôtel est propre et bien placé, mais mal insonorisé.",propreté,positive,"L’hôtel est propre et bien placé, mais mal insonorisé."
"L’hôtel est propre et bien placé, mais mal insonorisé.",insonorisation,negative,"L’hôtel est propre et bien placé, mais mal insonorisé."
"Le logiciel est puissant et stable, mais très gourmand en ressources.",stabilité,positive,"Le logiciel est puissant et stable, mais très gourmand en ressources."
"Le logiciel est puissant et stable, mais très gourmand en ressources.",consommation,negative,"Le logiciel est puissant et stable, mais très gourmand en ressources."
"La soirée était conviviale et animée, mais trop bruyante.",ambiance,positive,"La soirée était conviviale et animée, mais trop bruyante."
"La soirée était conviviale et animée, mais trop bruyante.",bruit,negative,"La soirée était conviviale et animée, mais trop bruyante."
"Le cours en ligne est flexible et accessible, mais manque d’interactions.",flexibilité,positive,"Le cours en ligne est flexible et accessible, mais manque d’interactions."
"Le cours en ligne est flexible et accessible, mais manque d’interactions.",interaction,negative,"Le cours en ligne est flexible et accessible, mais manque d’interactions."
"Le produit est élégant et bien fini, mais peu ergonomique.",design,positive,"Le produit est élégant et bien fini, mais peu ergonomique."
"Le produit est élégant et bien fini, mais peu ergonomique.",ergonomie,negative,"Le produit est élégant et bien fini, mais peu ergonomique."
"Le quartier est calme et verdoyant, mais mal desservi.",environnement,positive,"Le quartier est calme et verdoyant, mais mal desservi."
"Le quartier est calme et verdoyant, mais mal desservi.",transports,negative,"Le quartier est calme et verdoyant, mais mal desservi."
"Le stage est formateur et stimulant, mais les objectifs sont flous.",apprentissage,positive,"Le stage est formateur et stimulant, mais les objectifs sont flous."
"Le stage est formateur et stimulant, mais les objectifs sont flous.",objectifs,negative,"Le stage est formateur et stimulant, mais les objectifs sont flous."
