date,region,produit,canal,visites,ventes,cout,profit,quantite,remise,satisfaction,temperature,commentaire
2025-01-20,Est,Beta,Magasin,758,1260.54,825.30,435.25,19,0.054,4,16.10,"Packaging abîmé"
2025-01-21,Nord,Alpha,Partenaire,689,1001.44,678.02,323.42,11,0.049,4,19.41,"RAS"
2025-01-22,Sud,Delta,Web,873,2512.70,1584.37,928.33,17,0.059,4,15.41,"Packaging abîmé"
2025-01-23,Ouest,Gamma,Magasin,985,2800.25,1757.86,1042.39,26,0.103,4,18.44,"Livraison rapide"
2025-01-24,Est,Beta,Partenaire,1061,1217.56,737.81,479.75,20,0.132,4,15.68,""
2025-01-25,Nord,Alpha,Web,1005,1754.23,1074.44,679.79,19,0.080,4,18.31,"Moyen"
2025-01-26,Sud,Delta,Magasin,909,3796.63,2467.95,1328.67,25,0.051,4,14.83,"Retard de livraison"
2025-01-27,Ouest,Gamma,Partenaire,888,1498.02,876.90,621.13,13,0.048,4,17.45,"Bon rapport qualité/prix"
2025-01-28,Est,Beta,Web,874,1214.63,705.07,509.56,17,0.046,4,16.27,"Livraison rapide"
2025-01-29,Nord,Alpha,Magasin,956,2454.62,1615.18,839.44,26,0.045,3,17.46,"RAS"
2025-01-30,Sud,Delta,Partenaire,1069,2744.77,1714.63,1030.14,20,0.091,4,16.14,"Support lent"
2025-01-31,Ouest,Gamma,Web,1040,2620.01,1509.59,1110.41,24,0.127,4,16.12,"Service correct"
2025-02-01,Est,Beta,Magasin,985,1747.85,1115.98,631.86,27,0.091,4,15.18,"Livraison rapide"
2025-02-02,Nord,Alpha,Partenaire,896,1435.20,839.95,595.25,15,0.030,4,19.58,"Service correct"
2025-02-03,Sud,Delta,Web,949,2332.80,1383.67,949.13,16,0.049,5,16.02,"RAS"
2025-02-04,Ouest,Gamma,Magasin,957,3103.53,1966.20,1137.33,26,0.044,3,16.43,"RAS"
2025-02-05,Est,Beta,Partenaire,1061,1159.48,744.20,415.28,17,0.066,,19.40,"Recommande"
2025-02-06,Nord,Alpha,Web,1092,1878.56,1238.46,640.10,23,0.099,4,16.02,"Support lent"
2025-02-07,Sud,Delta,Magasin,1172,4559.33,3041.54,1517.79,33,0.128,5,17.99,"Recommande"
2025-02-08,Ouest,Gamma,Partenaire,1021,1884.56,1237.83,646.73,18,0.095,3,17.60,"Très satisfait"
2025-02-09,Est,Beta,Web,898,1076.51,660.37,416.14,15,0.044,3,16.71,"Service correct"
2025-02-10,Nord,Alpha,Magasin,862,1920.52,1117.09,803.43,21,0.060,3,16.46,"RAS"
2025-02-11,Sud,Delta,Partenaire,904,2482.97,1488.29,994.68,17,0.046,4,16.34,"Bon rapport qualité/prix"
2025-02-12,Ouest,Gamma,Web,968,2119.46,1316.41,803.06,18,0.052,4,19.03,"Support lent"
2025-02-13,Est,Beta,Magasin,1067,1944.92,1225.29,719.63,31,0.108,3,15.23,"Bon rapport qualité/prix"
2025-02-14,Nord,Alpha,Partenaire,1143,1646.49,1042.65,603.84,20,0.131,4,20.22,"Recommande"
2025-02-15,Sud,Delta,Web,1101,3814.01,2246.10,1567.90,27,0.073,3,18.89,"Recommande"
2025-02-16,Ouest,Gamma,Magasin,993,2892.23,1767.49,1124.74,24,0.031,5,17.79,""
2025-02-17,Est,Beta,Partenaire,893,923.44,568.76,354.68,13,0.045,4,21.99,""
2025-02-18,Nord,Alpha,Web,856,1306.58,852.99,453.59,14,0.060,,18.16,"Moyen"
2025-02-19,Sud,Delta,Magasin,902,3476.23,1949.65,1526.58,23,0.065,3,20.92,"Recommande"
2025-02-20,Ouest,Gamma,Partenaire,1063,2252.59,1337.62,914.98,21,0.113,3,19.03,"Service correct"
2025-02-21,Est,Beta,Web,1023,1554.75,947.26,607.49,25,0.126,3,21.26,""
2025-02-22,Nord,Alpha,Magasin,1088,3019.09,1874.00,1145.10,33,0.075,3,19.79,"Livraison rapide"
2025-02-23,Sud,Delta,Partenaire,999,2586.48,1685.05,901.43,18,0.073,,20.02,"RAS"
2025-02-24,Ouest,Gamma,Web,930,1885.01,1186.24,698.77,16,0.039,5,20.13,"Moyen"
2025-02-25,Est,Beta,Magasin,903,1572.64,1032.56,540.08,23,0.045,4,19.10,"Support lent"
2025-02-26,Nord,Alpha,Partenaire,1117,1961.56,1232.31,729.25,21,0.047,3,19.48,"Moyen"
2025-02-27,Sud,Delta,Web,1114,3118.84,1930.48,1188.36,22,0.103,4,17.60,"Bon rapport qualité/prix"
2025-02-28,Ouest,Gamma,Magasin,1210,3832.95,2211.26,1621.69,35,0.133,4,17.39,"Packaging abîmé"
2025-03-01,Est,Beta,Partenaire,1007,1118.85,772.05,346.80,17,0.085,4,22.44,"Packaging abîmé"
2025-03-02,Nord,Alpha,Web,959,1742.27,1055.47,686.79,19,0.060,4,20.14,"Très satisfait"
2025-03-03,Sud,Delta,Magasin,1012,3833.33,2457.85,1375.48,25,0.039,,22.72,"Packaging abîmé"
2025-03-04,Ouest,Gamma,Partenaire,942,1877.66,1115.50,762.15,16,0.065,4,17.38,"Recommande"
2025-03-05,Est,Beta,Web,1223,1694.16,1073.23,620.92,24,0.055,4,22.36,"Service correct"
2025-03-06,Nord,Alpha,Magasin,1138,3316.11,2242.68,1073.43,37,0.099,4,20.43,""
2025-03-07,Sud,Delta,Partenaire,1231,3591.44,2171.88,1419.56,24,0.113,,23.58,"Packaging abîmé"
2025-03-08,Ouest,Gamma,Web,1100,2689.30,1664.87,1024.43,25,0.107,5,21.57,""
2025-03-09,Est,Beta,Magasin,1027,1973.79,1204.36,769.42,28,0.042,4,21.11,"Support lent"
2025-03-10,Nord,Alpha,Partenaire,961,1460.79,990.60,470.19,16,0.053,3,20.35,"Moyen"
2025-03-11,Sud,Delta,Web,1054,2577.48,1629.72,947.76,18,0.050,4,23.55,""
2025-03-12,Ouest,Gamma,Magasin,1030,3185.47,1944.38,1241.08,27,0.066,3,19.77,"Moyen"
2025-03-13,Est,Beta,Partenaire,1041,1207.39,685.21,522.18,18,0.099,4,20.78,"Service correct"
2025-03-14,Nord,Alpha,Web,1253,1926.46,1174.85,751.61,23,0.132,,21.14,"Packaging abîmé"
2025-03-15,Sud,Delta,Magasin,1203,4795.85,3036.39,1759.45,33,0.085,,20.70,"Moyen"
2025-03-16,Ouest,Gamma,Partenaire,1037,1498.13,953.47,544.66,13,0.042,4,20.20,"Moyen"
2025-03-17,Est,Beta,Web,981,1256.39,797.03,459.37,18,0.043,4,22.26,"Support lent"
2025-03-18,Nord,Alpha,Magasin,1092,2394.64,1459.64,935.00,26,0.047,,23.46,"Recommande"
2025-03-19,Sud,Delta,Partenaire,1073,2883.57,1822.75,1060.83,20,0.061,3,20.23,"Packaging abîmé"
2025-03-20,Ouest,Gamma,Web,1049,2234.33,1515.60,718.73,21,0.118,,20.71,"Service correct"
2025-03-21,Est,Beta,Magasin,1176,2194.39,1333.39,860.99,34,0.131,5,20.93,"Service correct"
2025-03-22,Nord,Alpha,Partenaire,1093,1948.63,1211.07,737.57,20,0.061,4,18.79,"Recommande"
2025-03-23,Sud,Delta,Web,1128,3641.91,2179.08,1462.83,24,0.056,4,20.47,"Livraison rapide"
2025-03-24,Ouest,Gamma,Magasin,785,1882.34,1116.61,765.73,16,0.050,4,19.74,"Packaging abîmé"
2025-03-25,Est,Beta,Partenaire,975,1130.94,745.99,384.95,16,0.035,3,22.74,"Packaging abîmé"
2025-03-26,Nord,Alpha,Web,1027,2213.65,1354.23,859.42,22,0.025,4,19.52,"Bon rapport qualité/prix"
2025-03-27,Sud,Delta,Magasin,1187,4596.78,2710.46,1886.32,33,0.111,4,21.08,"Packaging abîmé"
2025-03-28,Ouest,Gamma,Partenaire,1169,2458.46,1482.56,975.90,22,0.132,,24.38,"Packaging abîmé"
2025-03-29,Est,Beta,Web,1125,1719.33,981.09,738.24,26,0.115,4,20.05,"Bon rapport qualité/prix"
2025-03-30,Nord,Alpha,Magasin,1074,2735.43,1683.40,1052.03,29,0.052,4,20.78,"RAS"
2025-03-31,Sud,Delta,Partenaire,1031,2165.21,1405.00,760.22,15,0.068,4,21.08,"Moyen"
2025-04-01,Ouest,Gamma,Web,1004,2388.81,1568.78,820.03,19,0.051,3,23.06,"Retard de livraison"
2025-04-02,Est,Beta,Magasin,1154,2439.41,1529.07,910.35,35,0.042,5,21.99,"Bon rapport qualité/prix"
2025-04-03,Nord,Alpha,Partenaire,1026,1427.63,866.43,561.21,17,0.139,3,19.49,"Livraison rapide"
2025-04-04,Sud,Delta,Web,1181,3764.53,2253.40,1511.13,29,0.129,4,20.80,"RAS"
2025-04-05,Ouest,Gamma,Magasin,1137,3579.04,2346.17,1232.87,30,0.073,4,21.29,"Moyen"
2025-04-06,Est,Beta,Partenaire,1109,1385.65,873.19,512.45,20,0.044,4,18.39,"Retard de livraison"
2025-04-07,Nord,Alpha,Web,1007,1457.80,929.02,528.78,15,0.040,3,21.50,"Bon rapport qualité/prix"
2025-04-08,Sud,Delta,Magasin,1033,3930.25,2398.00,1532.25,28,0.076,4,20.33,""
2025-04-09,Ouest,Gamma,Partenaire,1015,2260.71,1472.41,788.31,19,0.038,3,22.95,"Livraison rapide"
2025-04-10,Est,Beta,Web,1223,1702.61,997.55,705.06,25,0.104,3,22.53,"Support lent"
2025-04-11,Nord,Alpha,Magasin,1412,3950.88,2335.22,1615.66,45,0.133,4,18.86,"Recommande"
2025-04-12,Sud,Delta,Partenaire,1260,3651.56,2337.98,1313.57,25,0.094,3,24.28,"Livraison rapide"
2025-04-13,Ouest,Gamma,Web,1008,2105.07,1213.70,891.37,19,0.071,5,21.44,"Très satisfait"
2025-04-14,Est,Beta,Magasin,967,1712.45,998.89,713.55,25,0.043,4,21.58,"Retard de livraison"
2025-04-15,Nord,Alpha,Partenaire,986,1432.60,906.63,525.97,15,0.043,5,21.28,""
2025-04-16,Sud,Delta,Web,1130,3477.84,2220.87,1256.96,23,0.050,4,21.37,"Livraison rapide"
2025-04-17,Ouest,Gamma,Magasin,1184,3879.30,2354.90,1524.39,35,0.118,4,23.49,"Retard de livraison"
2025-04-18,Est,Beta,Partenaire,1241,1190.18,754.71,435.46,19,0.145,,20.01,"Packaging abîmé"
2025-04-19,Nord,Alpha,Web,1267,2334.67,1429.75,904.93,26,0.087,3,22.87,""
2025-04-20,Sud,Delta,Magasin,1014,3688.63,2605.54,1083.09,25,0.035,3,21.16,"Moyen"
2025-04-21,Ouest,Gamma,Partenaire,1046,2102.12,1347.69,754.42,17,0.041,3,22.90,"Packaging abîmé"
2025-04-22,Est,Beta,Web,962,1140.59,791.92,348.67,16,0.049,3,19.55,"Bon rapport qualité/prix"
2025-04-23,Nord,Alpha,Magasin,1176,3394.09,1992.40,1401.69,35,0.038,4,20.93,"Retard de livraison"
2025-04-24,Sud,Delta,Partenaire,1215,2701.55,1696.16,1005.38,19,0.120,4,22.09,"Recommande"
2025-04-25,Ouest,Gamma,Web,1215,3253.20,2027.07,1226.13,29,0.120,3,22.47,"Moyen"
2025-04-26,Est,Beta,Magasin,1035,2360.97,1414.74,946.23,35,0.088,4,23.72,"Très satisfait"
2025-04-27,Nord,Alpha,Partenaire,1053,1693.92,1042.53,651.39,18,0.047,2,22.96,"Support lent"
2025-04-28,Sud,Delta,Web,1013,2303.50,1339.95,963.54,15,0.052,4,21.33,"Service correct"
2025-04-29,Ouest,Gamma,Magasin,1051,3197.44,1925.05,1272.39,28,0.056,4,19.31,"Bon rapport qualité/prix"
2025-04-30,Est,Beta,Partenaire,1082,1103.92,693.78,410.14,16,0.060,4,20.75,"Très satisfait"
2025-05-01,Nord,Alpha,Web,1183,2144.75,1299.07,845.69,24,0.121,4,19.53,"Recommande"
2025-05-02,Sud,Delta,Magasin,1192,5724.27,3557.82,2166.45,41,0.130,5,19.01,"Moyen"
2025-05-03,Ouest,Gamma,Partenaire,1103,2009.50,1314.91,694.59,19,0.099,5,17.96,"Retard de livraison"
2025-05-04,Est,Beta,Web,1051,1382.26,850.76,531.50,19,0.040,4,22.07,"Retard de livraison"
2025-05-05,Nord,Alpha,Magasin,912,1974.96,1135.88,839.08,21,0.066,5,19.83,"Bon rapport qualité/prix"
2025-05-06,Sud,Delta,Partenaire,956,1735.82,1049.26,686.57,12,0.047,4,18.28,"Moyen"
2025-05-07,Ouest,Gamma,Web,1144,2453.44,1589.14,864.30,21,0.039,3,20.66,"Packaging abîmé"
2025-05-08,Est,Beta,Magasin,1185,2142.03,1360.21,781.83,34,0.122,4,20.57,""
2025-05-09,Nord,Alpha,Partenaire,1239,1919.60,1094.01,825.59,23,0.127,4,21.63,"Moyen"
2025-05-10,Sud,Delta,Web,1081,2991.28,1870.49,1120.79,21,0.089,4,18.98,"Bon rapport qualité/prix"
2025-05-11,Ouest,Gamma,Magasin,1016,3308.06,2103.00,1205.06,29,0.055,4,19.48,"Retard de livraison"
2025-05-12,Est,Beta,Partenaire,1008,886.53,579.46,307.07,13,0.044,3,20.65,"Moyen"
2025-05-13,Nord,Alpha,Web,940,1400.55,855.01,545.54,16,0.071,3,16.13,"Très satisfait"
2025-05-14,Sud,Delta,Magasin,981,3924.67,2160.26,1764.41,26,0.043,5,19.46,"Bon rapport qualité/prix"
2025-05-15,Ouest,Gamma,Partenaire,1115,2654.24,1732.61,921.63,24,0.119,4,19.56,"Bon rapport qualité/prix"
2025-05-16,Est,Beta,Web,1205,1517.28,885.19,632.09,24,0.127,3,16.16,"Moyen"
2025-05-17,Nord,Alpha,Magasin,1165,3422.04,2177.42,1244.62,37,0.067,4,16.89,"RAS"
2025-05-18,Sud,Delta,Partenaire,1047,2378.93,1527.44,851.49,17,0.051,5,18.38,"RAS"
2025-05-19,Ouest,Gamma,Web,998,1857.59,1008.77,848.82,16,0.060,4,20.25,"Service correct"
2025-05-20,Est,Beta,Magasin,854,1358.97,816.77,542.20,20,0.064,3,18.72,"Bon rapport qualité/prix"
2025-05-21,Nord,Alpha,Partenaire,1071,1554.54,972.74,581.80,18,0.059,4,18.44,"Livraison rapide"
2025-05-22,Sud,Delta,Web,1146,3320.19,2144.67,1175.53,24,0.114,5,20.21,"Retard de livraison"
2025-05-23,Ouest,Gamma,Magasin,1129,4214.52,2574.96,1639.56,39,0.123,4,19.15,"Très satisfait"
2025-05-24,Est,Beta,Partenaire,1088,1522.81,980.80,542.01,23,0.069,4,19.20,"RAS"
2025-05-25,Nord,Alpha,Web,952,1742.60,1143.00,599.60,18,0.042,4,18.20,""
2025-05-26,Sud,Delta,Magasin,946,3223.47,1896.01,1327.46,22,0.044,3,21.44,"Recommande"
2025-05-27,Ouest,Gamma,Partenaire,876,1459.40,938.08,521.32,13,0.053,4,21.03,"Retard de livraison"
2025-05-28,Est,Beta,Web,1034,1539.75,929.95,609.80,22,0.050,3,19.05,"Service correct"
2025-05-29,Nord,Alpha,Magasin,1182,3036.15,1836.16,1199.98,35,0.117,3,18.77,"RAS"
2025-05-30,Sud,Delta,Partenaire,1144,3158.52,1859.90,1298.62,23,0.133,5,18.04,"Très satisfait"
2025-05-31,Ouest,Gamma,Web,1102,2396.95,1577.24,819.71,21,0.091,3,18.71,"Service correct"
2025-06-01,Est,Beta,Magasin,923,1735.52,996.41,739.11,26,0.055,4,18.32,"Service correct"
2025-06-02,Nord,Alpha,Partenaire,968,1350.15,781.68,568.47,15,0.063,4,16.70,"Retard de livraison"
2025-06-03,Sud,Delta,Web,925,1933.25,1229.12,704.13,14,0.064,3,18.06,"Service correct"
2025-06-04,Ouest,Gamma,Magasin,920,2710.11,1694.11,1016.00,23,0.051,3,14.98,"Moyen"
2025-06-05,Est,Beta,Partenaire,1144,1357.61,852.02,505.59,21,0.117,3,17.72,"Très satisfait"
2025-06-06,Nord,Alpha,Web,1106,1792.01,1107.96,684.05,22,0.136,4,10.71,"Très satisfait"
2025-06-07,Sud,Delta,Magasin,1110,4527.10,2844.32,1682.78,32,0.090,4,10.23,"Retard de livraison"
2025-06-08,Ouest,Gamma,Partenaire,889,1610.52,979.67,630.85,14,0.056,3,16.88,"RAS"
2025-06-09,Est,Beta,Web,919,1182.85,740.78,442.07,17,0.063,3,18.32,"Recommande"
2025-06-10,Nord,Alpha,Magasin,943,2217.37,1316.94,900.43,24,0.039,4,14.95,"Retard de livraison"
2025-06-11,Sud,Delta,Partenaire,964,2234.45,1304.39,930.06,16,0.063,4,14.74,"Service correct"
2025-06-12,Ouest,Gamma,Web,1098,2611.80,1565.02,1046.78,24,0.117,5,13.03,"Très satisfait"
2025-06-13,Est,Beta,Magasin,1206,2096.23,1337.47,758.76,35,0.134,3,14.85,"Service correct"
2025-06-14,Nord,Alpha,Partenaire,1060,2087.56,1310.42,777.14,23,0.079,4,15.62,"Moyen"
2025-06-15,Sud,Delta,Web,893,1945.14,1229.13,716.01,14,0.071,3,14.24,"Très satisfait"
2025-06-16,Ouest,Gamma,Magasin,824,2213.20,1301.21,911.99,19,0.052,4,15.50,"Retard de livraison"
2025-06-17,Est,Beta,Partenaire,942,1091.22,709.46,381.76,16,0.036,3,14.56,"RAS"
2025-06-18,Nord,Alpha,Web,954,1705.97,1028.76,677.21,19,0.060,4,15.17,"Retard de livraison"
2025-06-19,Sud,Delta,Magasin,1017,4188.38,2593.23,1595.15,31,0.124,4,12.85,"Bon rapport qualité/prix"
2025-06-20,Ouest,Gamma,Partenaire,1104,2306.45,1286.93,1019.53,22,0.131,4,12.99,""
2025-06-21,Est,Beta,Web,939,1326.19,852.43,473.76,20,0.078,4,14.13,"Recommande"
2025-06-22,Nord,Alpha,Magasin,950,2392.90,1591.77,801.13,26,0.042,4,17.39,"Support lent"
2025-06-23,Sud,Delta,Partenaire,929,1691.48,1102.99,588.50,12,0.058,4,13.93,"Livraison rapide"
2025-06-24,Ouest,Gamma,Web,772,1462.16,878.09,584.06,13,0.043,4,16.33,"Très satisfait"
2025-06-25,Est,Beta,Magasin,1084,1823.13,1106.43,716.70,27,0.040,4,13.46,"Bon rapport qualité/prix"
2025-06-26,Nord,Alpha,Partenaire,1046,1525.69,827.86,697.83,18,0.110,4,13.76,"Moyen"
2025-06-27,Sud,Delta,Web,936,2517.04,1432.35,1084.69,19,0.125,3,15.23,""
2025-06-28,Ouest,Gamma,Magasin,977,3048.99,1856.04,1192.95,28,0.090,3,13.41,"Livraison rapide"
2025-06-29,Est,Beta,Partenaire,727,452.98,282.64,170.34,7,0.040,4,12.07,"Recommande"
2025-06-30,Nord,Alpha,Web,805,978.69,592.01,386.68,11,0.038,3,12.48,"RAS"
2025-07-01,Sud,Delta,Magasin,888,3143.47,1847.29,1296.18,23,0.046,3,12.55,"Très satisfait"
2025-07-02,Ouest,Gamma,Partenaire,778,1441.74,897.40,544.35,13,0.056,3,16.42,"Bon rapport qualité/prix"
2025-07-03,Est,Beta,Web,1031,1407.00,922.48,484.53,22,0.116,4,10.78,"Service correct"
2025-07-04,Nord,Alpha,Magasin,1012,2622.36,1629.76,992.61,31,0.124,4,10.76,""
2025-07-05,Sud,Delta,Partenaire,1002,2780.43,1655.89,1124.53,21,0.104,4,11.74,"Très satisfait"
2025-07-06,Ouest,Gamma,Web,856,1657.76,1008.17,649.59,15,0.044,,12.35,"Service correct"
2025-07-07,Est,Beta,Magasin,746,1256.02,836.43,419.58,20,0.056,4,10.16,""
2025-07-08,Nord,Alpha,Partenaire,919,1450.92,850.64,600.28,17,0.079,4,14.31,"Packaging abîmé"
2025-07-09,Sud,Delta,Web,831,2238.59,1302.09,936.50,15,0.041,4,11.03,"Très satisfait"
2025-07-10,Ouest,Gamma,Magasin,1019,3807.70,2312.33,1495.36,34,0.101,4,10.15,"Service correct"
2025-07-11,Est,Beta,Partenaire,951,1285.00,806.68,478.32,21,0.121,3,12.63,""
2025-07-12,Nord,Alpha,Web,909,1572.00,928.47,643.54,18,0.091,4,12.59,"Très satisfait"
2025-07-13,Sud,Delta,Magasin,751,2920.16,2026.87,893.28,21,0.055,3,10.47,"Moyen"
2025-07-14,Ouest,Gamma,Partenaire,826,1287.79,802.77,485.02,11,0.032,3,7.42,"Recommande"
2025-07-15,Est,Beta,Web,699,860.33,545.71,314.63,13,0.062,3,9.78,"Service correct"
2025-07-16,Nord,Alpha,Magasin,765,1971.64,1274.12,697.52,22,0.039,3,10.60,"Support lent"
2025-07-17,Sud,Delta,Partenaire,950,2001.33,1181.39,819.94,15,0.111,4,6.81,""
2025-07-18,Ouest,Gamma,Web,936,2060.75,1347.28,713.47,19,0.136,4,9.10,"Service correct"
2025-07-19,Est,Beta,Magasin,927,1522.99,942.24,580.75,25,0.095,4,6.33,"Support lent"
2025-07-20,Nord,Alpha,Partenaire,805,1081.75,703.08,378.67,12,0.046,4,12.51,"Livraison rapide"
2025-07-21,Sud,Delta,Web,834,1574.47,997.34,577.13,11,0.041,4,10.85,"Service correct"
2025-07-22,Ouest,Gamma,Magasin,729,1947.91,1219.91,728.00,17,0.040,3,9.92,"Bon rapport qualité/prix"
2025-07-23,Est,Beta,Partenaire,828,803.06,505.14,297.92,13,0.050,3,9.38,"Livraison rapide"
2025-07-24,Nord,Alpha,Web,928,1929.10,1211.13,717.97,24,0.107,3,8.69,"Recommande"
2025-07-25,Sud,Delta,Magasin,1057,4790.69,2753.12,2037.57,37,0.144,4,6.87,""
2025-07-26,Ouest,Gamma,Partenaire,830,1440.76,862.67,578.09,14,0.082,4,8.97,"RAS"
2025-07-27,Est,Beta,Web,827,853.12,512.14,340.98,14,0.061,4,7.44,"Service correct"
2025-07-28,Nord,Alpha,Magasin,678,1454.92,822.01,632.91,17,0.053,4,9.41,"Moyen"
2025-07-29,Sud,Delta,Partenaire,729,1756.54,1022.51,734.02,12,0.048,3,8.06,"Retard de livraison"
2025-07-30,Ouest,Gamma,Web,810,1921.57,1194.85,726.72,17,0.033,3,6.50,"Support lent"
2025-07-31,Est,Beta,Magasin,803,1427.26,876.42,550.84,24,0.103,4,9.44,"Packaging abîmé"
2025-08-01,Nord,Alpha,Partenaire,894,1193.27,735.61,457.66,15,0.134,4,9.08,"Livraison rapide"
2025-08-02,Sud,Delta,Web,769,1834.95,1177.95,657.00,14,0.090,3,9.32,"Packaging abîmé"
2025-08-03,Ouest,Gamma,Magasin,682,2109.22,1303.12,806.10,20,0.051,3,6.66,"Service correct"
2025-08-04,Est,Beta,Partenaire,612,636.38,389.39,246.99,10,0.048,5,7.43,"Livraison rapide"
2025-08-05,Nord,Alpha,Web,712,965.94,570.89,395.05,11,0.049,4,4.58,"Moyen"
2025-08-06,Sud,Delta,Magasin,719,2924.48,1821.70,1102.78,21,0.048,4,4.21,""
2025-08-07,Ouest,Gamma,Partenaire,819,1470.32,932.20,538.12,14,0.110,4,7.05,"Retard de livraison"
2025-08-08,Est,Beta,Web,958,1250.49,729.97,520.52,20,0.100,4,8.82,"Bon rapport qualité/prix"
2025-08-09,Nord,Alpha,Magasin,823,1866.54,1164.50,702.04,23,0.093,4,6.99,"Support lent"
2025-08-10,Sud,Delta,Partenaire,777,2276.89,1317.61,959.27,17,0.068,4,9.69,"Moyen"
2025-08-11,Ouest,Gamma,Web,769,1608.33,1105.71,502.62,14,0.042,4,3.90,"Moyen"
2025-08-12,Est,Beta,Magasin,808,1330.44,873.85,456.59,22,0.046,3,4.15,"Recommande"
2025-08-13,Nord,Alpha,Partenaire,873,1668.97,1051.18,617.79,19,0.038,4,2.28,"Retard de livraison"
2025-08-14,Sud,Delta,Web,894,1978.07,1301.05,677.02,16,0.106,4,3.39,"RAS"
2025-08-15,Ouest,Gamma,Magasin,788,2519.60,1462.79,1056.81,25,0.124,3,5.02,"Service correct"
2025-08-16,Est,Beta,Partenaire,778,954.28,601.28,353.00,15,0.082,4,4.38,"Très satisfait"
2025-08-17,Nord,Alpha,Web,626,1030.06,671.86,358.21,12,0.050,4,2.36,""
2025-08-18,Sud,Delta,Magasin,568,1885.11,1103.92,781.19,14,0.021,4,7.01,"Support lent"
2025-08-19,Ouest,Gamma,Partenaire,645,1103.91,666.63,437.28,10,0.057,5,1.92,"Packaging abîmé"
2025-08-20,Est,Beta,Web,851,1161.18,710.04,451.14,18,0.059,3,2.36,"Retard de livraison"
2025-08-21,Nord,Alpha,Magasin,871,1914.84,1116.62,798.22,24,0.108,3,3.36,"Support lent"
2025-08-22,Sud,Delta,Partenaire,858,2081.43,1269.14,812.30,17,0.121,3,6.69,"Support lent"
2025-08-23,Ouest,Gamma,Web,850,2441.57,1630.15,811.42,23,0.100,4,5.41,"Très satisfait"
2025-08-24,Est,Beta,Magasin,665,1161.83,703.44,458.39,19,0.047,4,5.44,"Service correct"
2025-08-25,Nord,Alpha,Partenaire,777,1089.71,602.14,487.57,13,0.051,4,3.23,"Retard de livraison"
2025-08-26,Sud,Delta,Web,564,914.73,580.28,334.45,7,0.056,3,3.00,""
2025-08-27,Ouest,Gamma,Magasin,699,2024.80,1247.36,777.44,18,0.024,4,3.72,"Recommande"
2025-08-28,Est,Beta,Partenaire,889,1122.19,707.44,414.75,18,0.098,4,2.78,"Livraison rapide"
2025-08-29,Nord,Alpha,Web,861,1570.58,948.74,621.84,19,0.114,4,4.11,"Retard de livraison"
2025-08-30,Sud,Delta,Magasin,701,2577.47,1732.03,845.45,20,0.079,5,5.86,"Bon rapport qualité/prix"
2025-08-31,Ouest,Gamma,Partenaire,711,1203.90,661.68,542.21,11,0.055,3,3.67,"Service correct"
2025-09-01,Est,Beta,Web,661,585.54,350.17,235.37,9,0.058,4,3.44,"RAS"
2025-09-02,Nord,Alpha,Magasin,629,1343.50,846.78,496.72,15,0.062,4,1.93,"Packaging abîmé"
